,State,District,Crop,Area (Hectare),TotalDistrictArea,TopTwoCropArea,TopTwoCropAreaPercent
98,Chhattisgarh, KOREA,Rice,67867.0,100238.0,76767.0,0.7658472834653525
99,Chhattisgarh, KOREA,Small millets,8900.0,100238.0,76767.0,0.7658472834653525
100,Chhattisgarh, MAHASAMUND,Rice,266738.0,287821.0,276849.0,0.9618790845699237
101,Chhattisgarh, MAHASAMUND,Urad,10111.0,287821.0,276849.0,0.9618790845699237
102,Chhattisgarh, NARAYANPUR,Rice,29917.0,46610.0,33580.0,0.7204462561682042
103,Chhattisgarh, NARAYANPUR,Small millets,3663.0,46610.0,33580.0,0.7204462561682042
104,Chhattisgarh, RAIGARH,Rice,240388.0,284433.0,258504.0,0.9088396915969666
105,Chhattisgarh, RAIGARH,Urad,18116.0,284433.0,258504.0,0.9088396915969666
106,Chhattisgarh, RAIPUR,Rice,545965.0,564967.0,550290.0,0.9740214915207437
107,Chhattisgarh, RAIPUR,Urad,4325.0,564967.0,550290.0,0.9740214915207437
108,Chhattisgarh, RAJNANDGAON,Rice,274412.0,324080.0,295413.0,0.9115434460627005
109,Chhattisgarh, RAJNANDGAON,Soyabean,21001.0,324080.0,295413.0,0.9115434460627005
110,Chhattisgarh, SURGUJA,Rice,302922.0,458000.0,339106.0,0.7404061135371179
111,Chhattisgarh, SURGUJA,Maize,36184.0,458000.0,339106.0,0.7404061135371179
112,Gujarat, AHMADABAD,Rice,103500.0,214200.0,154400.0,0.7208216619981326
113,Gujarat, AHMADABAD,other oilseeds,50900.0,214200.0,154400.0,0.7208216619981326
114,Gujarat, AMRELI,Groundnut,217000.0,255700.0,232600.0,0.9096597575283535
115,Gujarat, AMRELI,Sesamum,15600.0,255700.0,232600.0,0.9096597575283535
116,Gujarat, ANAND,Rice,87700.0,140800.0,115700.0,0.8217329545454546
117,Gujarat, ANAND,Bajra,28000.0,140800.0,115700.0,0.8217329545454546
118,Gujarat, BANAS KANTHA,Bajra,132000.0,385400.0,210200.0,0.5454073689673067
119,Gujarat, BANAS KANTHA,Castor seed,78200.0,385400.0,210200.0,0.5454073689673067
120,Gujarat, BHARUCH,Arhar/Tur,66400.0,127200.0,87200.0,0.6855345911949685
121,Gujarat, BHARUCH,Sugarcane,20800.0,127200.0,87200.0,0.6855345911949685
122,Gujarat, BHAVNAGAR,Groundnut,101700.0,181200.0,147400.0,0.8134657836644592
123,Gujarat, BHAVNAGAR,Bajra,45700.0,181200.0,147400.0,0.8134657836644592
124,Gujarat, DANG,Rice,18000.0,52500.0,28400.0,0.540952380952381
125,Gujarat, DANG,Ragi,10400.0,52500.0,28400.0,0.540952380952381
126,Gujarat, DOHAD,Maize,120000.0,218000.0,155800.0,0.7146788990825688
127,Gujarat, DOHAD,Rice,35800.0,218000.0,155800.0,0.7146788990825688
128,Gujarat, GANDHINAGAR,Castor seed,30300.0,75700.0,46300.0,0.6116248348745046
129,Gujarat, GANDHINAGAR,Rice,16000.0,75700.0,46300.0,0.6116248348745046
130,Gujarat, JAMNAGAR,Groundnut,368700.0,406700.0,375100.0,0.9223014507007622
131,Gujarat, JAMNAGAR,Sesamum,6400.0,406700.0,375100.0,0.9223014507007622
132,Gujarat, JUNAGADH,Groundnut,402100.0,440000.0,411000.0,0.9340909090909091
133,Gujarat, JUNAGADH,Bajra,8900.0,440000.0,411000.0,0.9340909090909091
134,Gujarat, KACHCHH,Moong(Green Gram),89200.0,420200.0,167300.0,0.39814374107567824
135,Gujarat, KACHCHH,Groundnut,78100.0,420200.0,167300.0,0.39814374107567824
136,Gujarat, KHEDA,Rice,87300.0,198300.0,126200.0,0.6364094805849723
137,Gujarat, KHEDA,Bajra,38900.0,198300.0,126200.0,0.6364094805849723
138,Gujarat, MAHESANA,Castor seed,60400.0,158700.0,97100.0,0.6118462507876496
